Time,Time Code,Country Name,Country Code,Adequacy of social insurance programs (% of total welfare of beneficiary households) [per_si_allsi.adq_pop_tot],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Literacy rate, youth (ages 15-24), gender parity index (GPI) [SE.ADT.1524.LT.FM.ZS]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, tertiary (gross), gender parity index (GPI) [SE.ENR.TERT.FM.ZS]"
1990,YR1990,Ireland,IRL,..,17962.0848135594,..,..,..,2.11,26673.9612718503,..,74.8460731707317,..,9.1,0.1,1.0483900308609,0.856809973716736
1990,YR1990,Isle of Man,IMN,..,..,..,..,..,1.924,..,..,71.959,..,..,..,..,..
1990,YR1990,Israel,ISR,..,..,..,..,..,2.824,..,..,76.6073170731707,..,11.6,..,1.04474997520447,0.963660001754761
1990,YR1990,Jamaica,JAM,..,..,..,..,..,2.854,8692.50223491895,6.1,72.304,..,28,1.2,..,..
1990,YR1990,Jordan,JOR,..,..,34.9,..,..,5.478,8127.6265386227,..,69.854,..,36,..,1.01573002338409,1.11107003688812
1990,YR1990,Kazakhstan,KAZ,..,..,..,..,..,2.72,13475.6398971693,..,68.3365853658537,..,51.7,0.1,..,..
1990,YR1990,Kenya,KEN,..,834.386560453522,..,..,..,6.129,3655.36205689276,..,58.614,..,102,4.8,..,..
1990,YR1990,Kiribati,KIR,..,..,..,..,..,4.637,2045.27227844342,..,60.917,..,91.6,..,1.01706004142761,..
1990,YR1990,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,2.35,..,..,70.21,..,43.4,..,..,..
1990,YR1990,Kosovo,XKX,..,..,..,..,..,3.647,..,..,70.917,..,104.6,..,..,..
1990,YR1990,Kuwait,KWT,..,..,..,..,..,3.318,..,..,73.281,..,18,..,0.949000000953674,1.45009005069733
1990,YR1990,Kyrgyz Republic,KGZ,..,..,..,..,..,3.63,5158.31756938856,..,68.2975609756098,..,64.6,0.1,1.01235997676849,..
1990,YR1990,Lao PDR,LAO,..,..,..,..,..,6.084,1939.08623861287,..,53.713,..,154.1,0.1,0.771629989147186,0.492190003395081
1990,YR1990,Latvia,LVA,..,..,..,..,..,2.02,..,..,69.2731707317073,..,16.9,0.1,..,1.28252995014191
1990,YR1990,Lebanon,LBN,..,1866.02604306831,..,..,..,3.295,5855.80521330475,..,64.475,..,32.2,0.1,..,..
1990,YR1990,Lesotho,LSO,..,..,..,..,..,4.759,1265.51634185978,..,59.398,..,84.5,1.8,1.22842001914978,1.24790000915527
1990,YR1990,Liberia,LBR,..,..,..,..,..,6.37,..,..,36.688,..,263.6,1.7,..,..
1990,YR1990,Libya,LBY,..,..,..,..,..,4.966,..,..,69.423,..,41.8,0.1,..,..
1990,YR1990,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,YR1990,Lithuania,LTU,..,..,..,..,..,2.03,..,..,71.1607317073171,..,15,0.1,..,0.696640014648438
1990,YR1990,Luxembourg,LUX,..,48910.3056684188,..,..,..,1.6,70860.8191239509,9.4,75.4383170731707,..,8.8,0.1,..,..
1990,YR1990,"Macao SAR, China",MAC,..,..,..,..,..,1.74,47879.962355243,..,77.424,..,..,..,0.979770004749298,0.375479996204376
1990,YR1990,Madagascar,MDG,..,451.177817318592,..,..,..,6.161,1808.7435387747,..,51.701,..,156,0.1,0.955370008945465,0.784979999065399
1990,YR1990,Malawi,MWI,..,..,..,..,..,6.809,936.986299651878,..,43.323,..,244.9,8,0.809379994869232,0.307090014219284
1990,YR1990,Malaysia,MYS,..,2198.7743049119,..,..,..,3.374,10607.7680731014,..,71.307,..,16.6,0.1,1.02188003063202,..
1990,YR1990,Maldives,MDV,..,..,..,..,..,6.089,..,..,63.578,1.00241994857788,85.7,..,..,..
1990,YR1990,Mali,MLI,..,411.081468012197,..,..,..,7.253,1336.57190539601,..,46.62,..,231.4,1,0.583769977092743,0.154060006141663
1990,YR1990,Malta,MLT,..,..,..,..,..,2.02,16130.2228752246,..,75.8799756097561,..,11.4,..,0.958940029144287,0.774900019168854
1990,YR1990,Marshall Islands,MHL,..,..,..,..,..,6.03,3417.71981594527,..,62.176,..,47.5,..,..,..
1990,YR1990,Mauritania,MRT,..,1186.63421344146,..,..,..,6.056,4611.9392933037,..,59.77,..,117.2,0.1,0.667689979076386,0.132019996643066
1990,YR1990,Mauritius,MUS,..,..,..,..,..,2.32,8233.91191179834,..,69.4048780487805,1.01101994514465,23.1,0.1,1.0040500164032,0.612410008907318
1990,YR1990,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,4.958,2925.35863300248,..,67.425,..,49.2,..,..,..
1990,YR1990,Moldova,MDA,..,..,..,..,..,2.388,..,..,68.067,..,33.4,0.1,..,..
1990,YR1990,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,7.8,..,..,..
