"time","country","country_code","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
1990,"Luxembourg","LUX",NA,48910.3056684188,NA,NA,NA,1.6,70860.8191239509,9.4,75.4383170731707,NA,8.8,0.1,NA,NA
1990,"Macao SAR, China","MAC",NA,NA,NA,NA,NA,1.74,47879.962355243,NA,77.424,NA,NA,NA,0.979770004749298,0.375479996204376
1990,"Madagascar","MDG",NA,451.177817318592,NA,NA,NA,6.161,1808.7435387747,NA,51.701,NA,156,0.1,0.955370008945465,0.784979999065399
1990,"Malawi","MWI",NA,NA,NA,NA,NA,6.809,936.986299651878,NA,43.323,NA,244.9,8,0.809379994869232,0.307090014219284
1990,"Malaysia","MYS",NA,2198.7743049119,NA,NA,NA,3.374,10607.7680731014,NA,71.307,NA,16.6,0.1,1.02188003063202,NA
1990,"Maldives","MDV",NA,NA,NA,NA,NA,6.089,NA,NA,63.578,1.00241994857788,85.7,NA,NA,NA
1990,"Mali","MLI",NA,411.081468012197,NA,NA,NA,7.253,1336.57190539601,NA,46.62,NA,231.4,1,0.583769977092743,0.154060006141663
1990,"Malta","MLT",NA,NA,NA,NA,NA,2.02,16130.2228752246,NA,75.8799756097561,NA,11.4,NA,0.958940029144287,0.774900019168854
1990,"Marshall Islands","MHL",NA,NA,NA,NA,NA,6.03,3417.71981594527,NA,62.176,NA,47.5,NA,NA,NA
1990,"Mauritania","MRT",NA,1186.63421344146,NA,NA,NA,6.056,4611.9392933037,NA,59.77,NA,117.2,0.1,0.667689979076386,0.132019996643066
1990,"Mauritius","MUS",NA,NA,NA,NA,NA,2.32,8233.91191179834,NA,69.4048780487805,1.01101994514465,23.1,0.1,1.0040500164032,0.612410008907318
1990,"Micronesia, Fed. Sts.","FSM",NA,NA,NA,NA,NA,4.958,2925.35863300248,NA,67.425,NA,49.2,NA,NA,NA
1990,"Moldova","MDA",NA,NA,NA,NA,NA,2.388,NA,NA,68.067,NA,33.4,0.1,NA,NA
1990,"Monaco","MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA
1990,"Mongolia","MNG",NA,NA,NA,NA,NA,4.232,5030.07325217591,NA,58.765,NA,107.4,0.1,NA,NA
1990,"Montenegro","MNE",NA,NA,NA,NA,NA,1.944,NA,NA,75.5668780487805,NA,16.5,0.1,NA,NA
1990,"Morocco","MAR",NA,1494.79663085938,NA,NA,NA,4.018,4119.8720703125,6.6,62.448,NA,80.8,0.1,0.692330002784729,0.581139981746674
1990,"Mozambique","MOZ",NA,NA,NA,NA,NA,6.221,460.9659065576,NA,44.469,NA,245.7,NA,0.727569997310638,NA
1990,"Myanmar","MMR",NA,NA,NA,NA,NA,3.543,616.312938230051,NA,56.661,NA,115.3,0.1,0.920029997825623,NA
1990,"Namibia","NAM",NA,2076.92045341688,NA,NA,NA,5.321,6223.45299390074,NA,62.496,NA,72.8,2,1.08800995349884,NA
1990,"Nauru","NRU",NA,NA,NA,NA,NA,3.954,NA,NA,61.356,NA,67.2,NA,NA,NA
1990,"Nepal","NPL",NA,NA,NA,NA,NA,5.208,1554.602042967,NA,54.833,NA,138.6,0.1,0.551310002803802,0.316289991140366
1990,"New Caledonia","NCL",NA,NA,NA,NA,NA,3.18,NA,NA,70.4853658536585,NA,NA,NA,NA,NA
1990,"New Zealand","NZL",NA,19715.8395452348,NA,NA,NA,2.18,27998.3977677454,NA,75.3780487804878,NA,11.2,0.1,0.992280006408691,1.08290994167328
1990,"Nicaragua","NIC",NA,NA,NA,NA,NA,4.596,3409.80248204744,NA,63.096,NA,66.9,0.1,NA,1.07331001758575
1990,"Niger","NER",NA,436.268161328618,NA,NA,NA,7.806,1077.87066621344,NA,41.852,NA,331.6,0.2,0.528339982032776,0.18299999833107
1990,"Nigeria","NGA",NA,NA,6,NA,NA,6.459,3259.58117515554,NA,46.037,NA,209.3,1,0.782169997692108,NA
1990,"North Macedonia","MKD",NA,NA,NA,NA,NA,2.185,11111.2095523312,NA,71.2338048780488,NA,36.9,NA,NA,1.03320002555847
1990,"Norway","NOR",NA,31202.673774797,NA,NA,NA,1.93,42302.2634118752,NA,76.5373170731707,NA,8.7,0.1,1.02295005321503,1.17568004131317
1990,"Oman","OMN",NA,NA,NA,NA,NA,6.606,30462.2010842738,NA,69.782,NA,39,0.1,0.848380029201508,1.11866998672485
1990,"Pakistan","PAK",NA,915.080307828828,NA,NA,NA,6.364,3034.11326837161,8.1,60.066,NA,139.8,0.1,0.497209995985031,0.404159992933273
1990,"Palau","PLW",NA,NA,NA,NA,NA,2.84,NA,NA,69.0692682926829,NA,35.3,NA,NA,NA
1990,"Panama","PAN",NA,NA,NA,NA,NA,3.096,11211.8311737749,NA,71.097,0.993539988994598,31.4,NA,1.00038003921509,NA
1990,"Papua New Guinea","PNG",NA,NA,NA,NA,NA,5.18,2907.40181039141,NA,59.721,NA,84.9,0.1,0.811689972877502,NA
