"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Estonia","EST",0,NA,10016.3863245861,63.7333333333333,NA,NA,1.5105,21211.6744645729,7.37142857142857,70.4993292682927,1.00083994865417,11.595,NA,1.0218617775861,1.28559778134028
"Ethiopia","ETH",3.263018169,NA,NA,7.725,NA,3,6.5127,777.059494000852,8.26666666666667,50.989,0.644551920890808,143.545,2.275,0.729740588104024,0.289370001293719
"Finland","FIN",0.000387043,NA,30595.9492678419,77.475,NA,NA,1.7885,38356.3294741951,9.64,77.4588658536586,NA,4.605,NA,1.05750899910927,1.16249350905418
"Fiji","FJI",1.728636619,42.8013564202268,NA,NA,5.32568979469767,NA,3.09475,9184.58208691022,6.65,66.3476,NA,24.225,0.1,1.02725770381781,1.15372002124786
"France","FRA",0.005717646,NA,27556.9069399116,75.4,NA,NA,1.849,38352.1880562426,7.94666666666667,78.9169512195122,NA,5.875,0.215,1.0002424955368,1.18809248805046
"Micronesia, Fed. Sts.","FSM",1.349813557,28.3755248544427,NA,NA,17.3611900799107,NA,4.1928,3270.75567266479,5.6,69.56755,NA,40.63,NA,1.02091997861862,NA
"United Kingdom","GBR",0.032407019,NA,30682.0864616237,83.0636363636364,NA,NA,1.754,37275.9141777337,7.07,77.7926219512195,NA,6.805,NA,1.01206333637237,1.13315450847149
"Georgia","GEO",0.770433849,NA,NA,37.525,NA,4.5,1.78745,6152.30163303721,5.90714285714286,69.67055,1.00074005126953,35.115,0.1,1.01141750812531,1.01342798868815
"Ghana","GHA",0.974438237,NA,1115.52274254081,21.4142857142857,3.66121828742636,4,4.85505,2789.38180286948,5.86666666666667,58.06125,0.862026751041413,100.51,2.32,0.904416157649113,0.418622225522995
"Guinea","GIN",0.180212227,NA,502.336470675079,5.66666666666667,NA,3.6,6.02895,1672.08591724696,5.075,52.0558,0.418026487032573,172.48,1.41,0.582518458366394,0.166665716362851
